C,gamma,Mean_Score,Std_Score
0.0001,0.0001,0.06983677720493202,0.00313747991038897
0.0001,0.001,0.06983735613270925,0.003137179749003579
0.0001,0.01,0.06984508487264861,0.003135717335875988
0.0001,0.1,0.06985303283882018,0.003138359784129476
0.0001,1.0,0.06985303435816963,0.003138400011152652
0.001,0.0001,0.0698373185724053,0.0031371513297855113
0.001,0.001,0.06984464270911497,0.003133814689420368
0.001,0.01,0.06992231903773416,0.0031213191172264117
0.001,0.1,0.07001159721044185,0.0031488928761702166
0.001,1.0,0.0700146000536312,0.003151129856790136
0.01,0.0001,0.06984427006884583,0.0031335297053334986
0.01,0.001,0.06995418482469037,0.0030488135937221904
0.01,0.01,0.07100724194491292,0.0030408548557942345
0.01,0.1,0.07254106478048829,0.0034721727652612024
0.01,1.0,0.07254847100177089,0.0034878293648555763
0.1,0.0001,0.06994893451151238,0.0030476232393050235
0.1,0.001,0.07153882635321793,0.0030665017325887662
0.1,0.01,0.0748225551629312,0.0043602936862104265
0.1,0.1,0.0803802279107626,0.004501332082040586
0.1,1.0,0.0804463802475751,0.004479090211762339
1.0,0.0001,0.07157883890818498,0.003076859376365392
1.0,0.001,0.06958276629216743,0.005715626650924665
1.0,0.01,0.07456505058589477,0.004328253471926158
1.0,0.1,0.0803802279107626,0.004501332082040586
1.0,1.0,0.0804463802475751,0.004479090211762339
